City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,75,AR,1638730640,71,-54.8,-68.3,46.06,33.38
Sokoni,100,TZ,1638730345,75,-6.4333,39.55,80.46,9.01
Linqu,70,CN,1638730643,58,36.5156,118.5397,40.5,5.5
Upernavik,100,GL,1638730644,73,72.7868,-56.1549,27.75,1.41
Saint George,6,US,1638730645,26,37.1041,-113.5841,68.34,3.02
Hasaki,100,JP,1638730646,63,35.7333,140.8333,45.28,10.27
Asău,100,RO,1638730328,84,46.4333,26.4,34.95,3.36
Churapcha,100,RU,1638730649,98,62.0025,132.4325,-14.58,5.77
Mokhsogollokh,100,RU,1638730650,96,61.4681,128.9203,-5.46,4.14
Christchurch,90,NZ,1638730558,88,-43.5333,172.6333,51.01,1.99
Hilo,100,US,1638730652,85,19.7297,-155.09,77.29,12.17
Atuona,8,PF,1638730653,75,-9.8,-139.0333,78.48,21.05
Mataura,100,NZ,1638730655,95,-46.1927,168.8643,46.47,2.26
Busselton,29,AU,1638730656,83,-33.65,115.3333,61.05,15.75
Athabasca,100,CA,1638730657,65,54.7169,-113.2854,-5.98,12.03
Matara,100,LK,1638730658,92,5.9485,80.5353,76.03,2.66
Yellowknife,20,CA,1638730659,83,62.456,-114.3525,-18.71,6.91
Linxia Chengguanzhen,0,CN,1638730472,57,35.6003,103.2064,28.63,2.08
Vagay,51,RU,1638730661,93,57.9375,69.0217,12.22,5.84
Caxias,40,PT,1638730663,73,38.7031,-9.2767,57.02,1.01
Bhan,0,PK,1638730664,29,26.5583,67.7214,68.95,1.9
Hobyo,8,SO,1638730430,75,5.3505,48.5268,79.18,17.74
Ganzhou,0,CN,1638730666,54,28.8184,115.4327,48.96,2.68
Albany,94,US,1638730667,53,42.6001,-73.9662,42.75,1.01
Husavik,100,IS,1638730261,75,66.0449,-17.3389,37.31,18.81
Tiksi,100,RU,1638730288,94,71.6872,128.8694,-13.13,5.57
Mar del Plata,40,AR,1638730670,85,-38.0023,-57.5575,68.02,13
St. George's,20,GD,1638730671,66,12.0564,-61.7485,85.68,23.02
Rikitea,98,PF,1638730673,75,-23.1203,-134.9692,75.76,7.85
Hirara,83,JP,1638730341,66,24.8,125.2833,70.92,20.18
Talnakh,100,RU,1638730466,99,69.4865,88.3972,-21.8,13.78
Cidreira,38,BR,1638730263,81,-30.1811,-50.2056,72.97,15.9
Yulara,0,AU,1638730242,64,-25.2406,130.9889,67.84,8.05
Tsimmerbude,100,RU,1638730401,93,54.675,20.1347,28.45,14.36
Saint-Philippe,38,RE,1638730177,79,-21.3585,55.7679,78.39,10.04
Lumphat,64,KH,1638730612,95,13.4878,106.9816,63.82,3.18
Alghero,40,IT,1638730495,93,40.5589,8.3181,46.49,4.61
Bulolo,17,PG,1638730683,97,-7.2,146.65,68.79,2.64
Nogliki,100,RU,1638730684,87,51.8333,143.1667,18.32,11.7
Qaanaaq,100,GL,1638730685,73,77.484,-69.3632,19.45,6.29
Isangel,75,VU,1638730100,100,-19.55,169.2667,73.51,2.3
Henties Bay,0,NA,1638730499,84,-22.116,14.2845,62.85,10
Arraial do Cabo,0,BR,1638729952,74,-22.9661,-42.0278,84.16,23.02
Puerto Ayora,67,EC,1638730689,82,-0.7393,-90.3518,75.16,9.71
Puro,23,PH,1638730690,79,12.4841,123.3827,76.32,12.24
Castro,95,BR,1638730691,62,-24.7911,-50.0119,73,4.59
Muros,57,ES,1638730692,91,42.7762,-9.0603,54.84,9.42
Mount Gambier,100,AU,1638730385,100,-37.8333,140.7667,44.51,0
Adrar,100,MR,1638730695,12,20.5022,-10.0711,67.32,11.9
Hobart,90,AU,1638730696,75,-42.8794,147.3294,51.06,1.01
Puerto Colombia,55,CO,1638730697,73,10.9878,-74.9547,87.89,19.06
Saint Paul Harbor,75,US,1638730698,100,57.79,-152.4072,26.11,3.44
Bam,10,IR,1638730699,42,29.106,58.357,54.88,3.13
Benalla,55,AU,1638730700,63,-36.55,145.9833,56.95,7.96
Guerrero Negro,2,MX,1638730701,64,27.9769,-114.0611,69.13,13.27
Dikson,100,RU,1638730128,94,73.5069,80.5464,2.28,8.66
Aklavik,20,CA,1638730704,76,68.2191,-135.0107,-12.17,4.61
Pimentel,0,PE,1638730705,64,-6.8367,-79.9342,73.69,14.97
Kruisfontein,94,ZA,1638730212,85,-34.0033,24.7314,67.89,6.02
Otjiwarongo,0,NA,1638730707,10,-20.4637,16.6477,68.72,9.93
Tecpan,13,GT,1638730708,49,14.7623,-90.9947,71.46,6.31
Vanimo,92,PG,1638730465,83,-2.6741,141.3028,79.12,6.73
Ilog,100,PH,1638730710,82,10.0266,122.7684,75.09,5.66
Longyearbyen,75,SJ,1638730125,73,78.2186,15.6401,13.84,11.5
Pucallpa,75,PE,1638730712,74,-8.3791,-74.5539,82.44,6.91
Bengkulu,100,ID,1638730714,91,-3.8004,102.2655,74.97,8.28
Chui,93,UY,1638730715,65,-33.6971,-53.4616,71.78,11.92
Kapuskasing,90,CA,1638730716,79,49.4169,-82.4331,10.49,4.61
Karratha,10,AU,1638730717,34,-20.7377,116.8463,86.13,15.3
La Baule-Escoublac,20,FR,1638730718,79,47.2922,-2.364,48.87,9.22
Ribeira Grande,40,PT,1638730719,68,38.5167,-28.7,64.8,8.05
Cape Town,90,ZA,1638730629,89,-33.9258,18.4232,64.11,4
Aquiraz,7,BR,1638730721,68,-3.9014,-38.3911,86.09,14.29
Vaini,75,TO,1638730722,94,-21.2,-175.2,75.36,8.05
Terrace,90,CA,1638730723,93,54.5163,-128.6035,30.42,3.44
Serenje,11,ZM,1638730725,39,-13.2325,30.2352,71.47,4
Hermanus,100,ZA,1638730726,94,-34.4187,19.2345,63.9,11.65
Kangaatsiaq,100,GL,1638730727,92,68.3065,-53.4641,31.15,17.85
Punta Arenas,20,CL,1638730728,38,-53.15,-70.9167,57.31,36.82
George Town,20,MY,1638730729,84,5.4112,100.3354,78.89,5.01
Shibetsu,1,JP,1638730730,67,43.659,145.132,32.05,8.08
Bilma,24,NE,1638730316,17,18.6853,12.9164,70.02,8.72
Atambua,100,ID,1638730732,88,-9.1061,124.8925,74.68,2.39
Evensk,15,RU,1638730733,81,61.95,159.2333,-15.32,6.82
Port Hardy,75,CA,1638730536,93,50.6996,-127.4199,35.6,4.61
Alice Springs,1,AU,1638730736,60,-23.7,133.8833,67.55,3.44
Jamestown,90,US,1638730462,42,42.097,-79.2353,42.53,10
Porbandar,0,IN,1638730738,52,21.6422,69.6093,74.64,11.52
Buta,100,CD,1638730739,94,2.7858,24.73,73.13,2.66
Thompson,20,CA,1638730245,76,55.7435,-97.8558,-18.24,9.22
Saldanha,13,ZA,1638730741,93,-33.0117,17.9442,62.65,16.02
Ostrovnoy,99,RU,1638730183,75,68.0531,39.5131,7.5,20.13
Tshela,100,CD,1638730743,97,-4.9833,12.9333,74.77,2.42
Cherskiy,83,RU,1638730562,100,68.75,161.3,-46.66,4.85
Avarua,20,CK,1638730746,83,-21.2078,-159.775,80.65,6.91
Pevek,100,RU,1638730747,96,69.7008,170.3133,-8.84,6.44
Aberchirder,23,GB,1638730748,84,57.5601,-2.6286,37.89,3.69
Quelimane,0,MZ,1638730698,78,-17.8786,36.8883,82.35,15.01
Al Bardīyah,0,LY,1638730750,65,31.7561,25.0865,62.46,5.28
Clyde River,100,CA,1638730282,85,70.4692,-68.5914,10.63,40.29
Airai,100,TL,1638730174,91,-8.9266,125.4092,61.65,1.61
Hong Kong,92,HK,1638730526,70,22.2855,114.1577,65.32,1.01
Olafsvik,100,IS,1638730343,90,64.8945,-23.7142,42.12,23.64
Bluff,95,NZ,1638730755,51,-46.6,168.3333,46.8,10.51
Vila Franca do Campo,66,PT,1638730756,78,37.7167,-25.4333,65.19,3.85
Bambanglipuro,99,ID,1638730272,87,-7.95,110.2833,65.61,5.01
Plouzané,75,FR,1638730759,71,48.3833,-4.6167,50.09,12.66
Barrow,100,US,1638730760,82,71.2906,-156.7887,8.33,15.08
New Norfolk,91,AU,1638730761,64,-42.7826,147.0587,50.72,2.62
Port Alfred,100,ZA,1638730762,95,-33.5906,26.891,69.4,9.84
Comodoro Rivadavia,20,AR,1638730577,33,-45.8667,-67.5,73.26,20.71
Pacific Grove,1,US,1638730764,78,36.6177,-121.9166,69.8,4
Bambous Virieux,40,MU,1638730765,73,-20.3428,57.7575,79.21,9.22
Chokurdakh,61,RU,1638730766,100,70.6333,147.9167,-42.45,4.94
Ancud,8,CL,1638730767,58,-41.8697,-73.8203,72.93,6.98
Saskylakh,100,RU,1638730769,95,71.9167,114.0833,-23.33,9.73
Saint-Augustin,100,CA,1638730357,54,51.226,-58.6502,23.45,8.12
Moree,64,AU,1638730771,82,-29.4667,149.85,60.82,9.22
Adeje,20,ES,1638730772,61,28.1227,-16.726,69.31,20.71
Erdenet,12,MN,1638730773,52,49.0333,104.0833,17.13,4.94
